Name;Resolver ciclic error 2;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\Resolver Ciclic Error2.csv;
Starttime of export;132900081483250000;Tuesday, February 22, 2022;13:55:48.325
Endtime of export;132900081936650000;Tuesday, February 22, 2022;13:56:33.665


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132900081483250000;0;0;-0.07104400728496757
132900081483350000;0;0;-0.071589537278080775
132900081483450000;0;0;-0.071963317444548577
132900081483550000;0;0;-0.071159641183373243
132900081483650000;0;0;-0.071960600044891937
132900081483750000;0;0;-0.0713054938217423
132900081483850000;0;0;-0.070967593192992354
132900081483950000;0;0;-0.071217287899142986
132900081484050000;0;0;-0.070778779118285867
132900081484150000;0;0;-0.071682102812949788
132900081484250000;0;0;-0.070235429008295089
132900081484350000;0;0;-0.070478880329199967
132900081484450000;0;0;-0.0705267449238585
132900081484550000;0;0;-0.069973611056086835
132900081484650000;0;0;-0.0708387240044804
132900081484750000;0;0;-0.070929427939031786
132900081484850000;0;0;-0.071578453530268649
132900081484950000;0;0;-0.070761105343799424
132900081485050000;0;0;-0.071280062635228292
132900081485150000;0;0;-0.070740210061782841
132900081485250000;0;0;-0.0706641738894993
132900081485350000;0;0;-0.0708913738796005
132900081485450000;0;0;-0.070348864681039319
132900081485550000;0;0;-0.07107274571552423
132900081485650000;0;0;-0.071595984064494786
132900081485750000;0;0;-0.07166686569825427
132900081485850000;0;0;-0.0715161899365596
132900081485950000;0;0;-0.07157596692464302
132900081486050000;0;0;-0.071445307665774019
132900081486150000;0;0;-0.0705004943502124
132900081486250000;0;0;-0.070835666058640764
132900081486350000;0;0;-0.070978586642959918
132900081486450000;0;0;-0.0711072287330178
132900081486550000;0;0;-0.073088766703544875
132900081486650000;0;0;-0.0730733183713985
132900081486750000;0;0;-0.073581376716872648
132900081486850000;0;0;-0.073689728536267984
132900081486950000;0;0;-0.073140990894323757
132900081487050000;0;0;-0.071954447645239575
132900081487150000;0;0;-0.071730922270551722
132900081487250000;0;0;-0.072549589462534259
132900081487350000;0;0;-0.072745469198017082
132900081487450000;0;0;-0.07261424684946638
132900081487550000;0;0;-0.072229689492272944
132900081487650000;0;0;-0.072837255422499747
132900081487750000;0;0;-0.072166239017959613
132900081487850000;0;0;-0.071738651696782993
132900081487950000;0;0;-0.072266062227521632
132900081488050000;0;0;-0.071712696832935879
132900081488150000;0;0;-0.070230613342531889
132900081488250000;0;0;-0.071011370221661166
132900081488350000;0;0;-0.070738784134574587
132900081488450000;0;0;-0.071439231560596048
132900081488550000;0;0;-0.0714743776859239
132900081488650000;0;0;-0.0726739069459094
132900081488750000;0;0;-0.073464443056227013
132900081488850000;0;0;-0.072564143851699153
132900081488950000;0;0;-0.071036132613396863
132900081489050000;0;0;-0.0703708242577131
132900081489150000;0;0;-0.0702767136554359
132900081489250000;0;0;-0.069794393473528338
132900081489350000;0;0;-0.070835747037838209
132900081489450000;0;0;-0.072389575341000448
132900081489550000;0;0;-0.0715692250295657
132900081489650000;0;0;-0.071343111548191521
132900081489750000;0;0;-0.072526383863132649
132900081489850000;0;0;-0.072181928746135771
132900081489950000;0;0;-0.071583934102864885
132900081490050000;0;0;-0.071452413334923442
132900081490150000;0;0;-0.071323955760135879
132900081490250000;0;0;-0.0704497036543038
132900081490350000;0;0;-0.070282367987334546
132900081490450000;0;0;-0.070760081141914233
