Name;Resolver voltage divider at sine and cosine coild;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\VoltageDividerSineCosCoils.csv;
Starttime of export;132907960342450000;Thursday, March 3, 2022;16:47:14.245
Endtime of export;132907960642850000;Thursday, March 3, 2022;16:47:44.285


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132907960342450000;0;0;-0.0026700013628315642
132907960342550000;0;0;-0.0030372612020354785
132907960342650000;0;0;-0.0024791147234945348
132907960342750000;0;0;-0.0019752274474711534
132907960342850000;0;0;-0.0017964327793564892
132907960342950000;0;0;-0.0028971408281242886
132907960343050000;0;0;-0.0012635242743449949
132907960343150000;0;0;-0.000266974302027416
132907960343250000;0;0;-0.0024866304383516246
132907960343350000;0;0;-0.00069094890457295152
132907960343450000;0;0;-0.001608432424017708
132907960343550000;0;0;-0.00090099971507088443
132907960343650000;0;0;-0.00081659338809789736
132907960343750000;0;0;-0.000997421625102929
132907960343850000;0;0;-0.00341616672767544
132907960343950000;0;0;-0.0036775638520566167
132907960344050000;0;0;-0.00280482127455207
132907960344150000;0;0;-0.0027356979772910988
132907960344250000;0;0;-0.0042906526655487852
132907960344350000;0;0;-0.00491624141765572
132907960344450000;0;0;-0.0036361375782609819
132907960344550000;0;0;-0.0040504180638596451
132907960344650000;0;0;-0.0030617150887159578
132907960344750000;0;0;-0.0012196703722829059
132907960344850000;0;0;-0.0010117068725782536
132907960344950000;0;0;0.00046077278163444605
132907960345050000;0;0;0.00041302577879364884
132907960345150000;0;0;-0.0001343001298431626
132907960345250000;0;0;-0.0015217910142662284
132907960345350000;0;0;-0.0016702634447021204
132907960345450000;0;0;0.00011990652381584888
132907960345550000;0;0;-0.001143845431057308
132907960345650000;0;0;0.00013229188095324805
132907960345750000;0;0;-0.00060106842091917924
132907960345850000;0;0;-0.0005497141875635377
132907960345950000;0;0;-0.0032684596825522608
132907960346050000;0;0;-0.0028441962506756263
132907960346150000;0;0;-0.00152883506754398
132907960346250000;0;0;-0.0014316858670575048
132907960346350000;0;0;-0.00040158621800466185
132907960346450000;0;0;0.0001927438129420791
132907960346550000;0;0;-0.00067436434637916189
132907960346650000;0;0;0.000603425700425
132907960346750000;0;0;-0.0004063685316262485
132907960346850000;0;0;-5.1689644974818453E-05
132907960346950000;0;0;-1.5016098632340217E-05
132907960347050000;0;0;-0.00016644189204559142
132907960347150000;0;0;-0.0016927686982104056
132907960347250000;0;0;-0.0018615874165739
132907960347350000;0;0;-0.0013482535196343137
132907960347450000;0;0;-0.0033437834495314107
132907960347550000;0;0;-0.0031383554815108228
132907960347650000;0;0;-0.0024852384816104471
132907960347750000;0;0;-0.00042367733182286445
132907960347850000;0;0;-0.00074372978359245714
132907960347950000;0;0;-0.00078775352583558892
132907960348050000;0;0;-0.00018850168120686131
132907960348150000;0;0;-0.000912213920179754
132907960348250000;0;0;0.00029838022091690808
132907960348350000;0;0;-0.00088377702946901
132907960348450000;0;0;-0.000244630502256155
132907960348550000;0;0;-0.0014960441072449651
132907960348650000;0;0;-0.00021353672944876269
132907960348750000;0;0;-0.0018177351833855637
132907960348850000;0;0;-0.001984090884077307
132907960348950000;0;0;-0.00067429246641562417
132907960349050000;0;0;-0.0010341833219918238
132907960349150000;0;0;-0.00095253179576645615
132907960349250000;0;0;0.00012293843671744255
132907960349350000;0;0;0.00014399334259982267
132907960349450000;0;0;0.00040557119309228904
132907960349550000;0;0;-0.00050429744349918747
132907960349650000;0;0;0.00097503164840983636
132907960349750000;0;0;0.00062782739456029727
132907960349850000;0;0;-0.00040259287627126709
132907960349950000;0;0;-0.0015737284339864843
132907960350050000;0;0;-0.0021156769443995975
132907960350150000;0;0;-0.0020293705170137456
132907960350250000;0;0;-0.0020420655677001517
132907960350350000;0;0;-0.001895155677819877
132907960350450000;0;0;-0.002406007997647449
132907960350550000;0;0;-0.0020192081780352603
132907960350650000;0;0;-0.0019056877978595296
132907960350750000;0;0;-0.00065503996401835717
132907960350850000;0;0;-0.000838180379208313
132907960350950000;0;0;-0.0018487448144059002
132907960351050000;0;0;-0.0010316593203086885
132907960351150000;0;0;-0.0013288659594445679
132907960351250000;0;0;-0.00064201087300637784
132907960351350000;0;0;-0.0022979543049683531
132907960351450000;0;0;-0.0016248061060484204
132907960351550000;0;0;-0.002516560027558002
132907960351650000;0;0;-0.00032968637221612331
132907960351750000;0;0;-0.0027854681413360446
132907960351850000;0;0;-0.001228388062355872
132907960351950000;0;0;-0.00203351328667969
132907960352050000;0;0;-0.0013917583083114735
132907960352150000;0;0;-0.00051011190099846913
132907960352250000;0;0;-0.0019076217515883397
132907960352350000;0;0;-0.00098341888096463285
132907960352450000;0;0;-0.0015361126316766683
132907960352550000;0;0;-0.0012223629563027981
132907960352650000;0;0;-0.0022656114983719152
132907960352750000;0;0;-0.0031218953154612617
132907960352850000;0;0;-0.0047776141702627678
132907960352950000;0;0;-0.0041282634848153945
132907960353050000;0;0;-0.0023889837013271365
132907960353150000;0;0;-0.0033169490391722072
132907960353250000;0;0;-0.0029392810426119233
132907960353350000;0;0;-0.0036069842874325167
132907960353450000;0;0;-0.0023250830620234137
132907960353550000;0;0;-0.0032521605148627996
132907960353650000;0;0;-0.0015898795500510238
132907960353750000;0;0;-0.00017300291630910846
132907960353850000;0;0;-0.0010035136401949916
132907960353950000;0;0;-0.00070274450281963005
132907960354050000;0;0;-0.0012607883860079009
132907960354150000;0;0;-0.0015953113136871655
132907960354250000;0;0;-0.00270050149394342
132907960354350000;0;0;-0.0032599641110119121
132907960354450000;0;0;-0.0028748465990258154
132907960354550000;0;0;-0.0017947615462828625
132907960354650000;0;0;-0.0022336112245080744
132907960354750000;0;0;-0.0037182409821934406
132907960354850000;0;0;-0.0020323640579616663
132907960354950000;0;0;-0.0037935353927798674
132907960355050000;0;0;-0.0027691694204823279
132907960355150000;0;0;-0.0030642796599244884
132907960355250000;0;0;-0.00080378692470909046
132907960355350000;0;0;-0.002460867684549404
132907960355450000;0;0;-0.0029068334931149726
132907960355550000;0;0;-0.0028048636387729827
132907960355650000;0;0;-0.00232615737303136
132907960355750000;0;0;-0.0016000881822125072
132907960355850000;0;0;0.00041200476799527897
132907960355950000;0;0;-0.00058268762247799322
132907960356050000;0;0;-0.00052204001571072925
132907960356150000;0;0;0.00092385592466284706
132907960356250000;0;0;-0.00056295287669677423
132907960356350000;0;0;-0.00079001984648328168
132907960356450000;0;0;-0.0018449882477305313
132907960356550000;0;0;-0.0022969003251445655
132907960356650000;0;0;8.77379288366266E-05
132907960356750000;0;0;-4.4231907862459625E-05
132907960356850000;0;0;0.00054440912348368794
132907960356950000;0;0;-7.1416917165000721E-05
132907960357050000;0;0;0.00021538871481190032
132907960357150000;0;0;0.00021046518152010706
132907960357250000;0;0;0.00012377328196069989
132907960357350000;0;0;-0.0011532863305011509
132907960357450000;0;0;-0.0012552885706953515
132907960357550000;0;0;-0.0029990716569097795
132907960357650000;0;0;-0.0043591298950134772
132907960357750000;0;0;-0.00351924810265084
132907960357850000;0;0;-0.0011799223857600866
132907960357950000;0;0;-0.0011597189482401653
132907960358050000;0;0;-0.0010368863854065863
132907960358150000;0;0;-0.0011056924737034794
132907960358250000;0;0;-0.0009658101350001597
132907960358350000;0;0;-0.00072777333438960078
132907960358450000;0;0;0.000606523070879701
132907960358550000;0;0;5.1549970300092868E-05
132907960358650000;0;0;0.0010963864549696271
